Continent,Country,Region,State,Name of VC,Year of Establishment,Type of Investor,Website,Postal Address,Pincode,LinkedIn Details,Phone Details,Email Address,,Subvertical Industry,Investment Stage,Investment Amount Minimum,Investment Amount Maximum,Previously Invested Total Amount,Total number of companies funded so far,Latitude,Longitude,Code 
north america,united states of america,midwest,illinois,energy foundry,2013,private,http://www.energyfoundry.com/,"18 s michigan ave, chicago, il 60603",60603,https://www.linkedin.com/company/energy-foundry/?originalsubdomain=in,NaN,info@energyfoundry.com,,"energy,cleantech,grid,hardware,software,batteries,smart grid,cybersecurity","startups, early stage",200000,5500000,18500000,15,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,firestarter fund,2012,private,https://firestarterfund.com/,"chicago, il 
 ",NaN,https://www.linkedin.com/company/firestarter-fund/,NaN,NaN,,"software,retail,digital media,marketing,saas,ecommerce,mobile",startups,965000,11000000,40065000,17,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,first analysis,1981,private,http://www.firstanalysis.com/,"one south wacker drive
suite 3900
chicago, illinois 60606",60606,https://www.linkedin.com/company/first-analysis/?originalsubdomain=in,(+1) 312-258-1400,NaN,,"software,security,enterprise software","early stage, growth stage",2000000,135000000,941500000,64,41.881832,-87.623177,il
north america,usa,midwest,illinois,first analysis venture capital,1981,venture capital,http://www.firstanalysis.com/,"one south wacker drive
 
 39th floor
 
 suite 3900
 
 chicago, il 60606
 
 united states",60606,https://www.linkedin.com/company/first-analysis,(+1)312-258-1400,NaN,,"health care,diagnostic or life science tools,healthcare it,medical devices,clinical research organization,disease management,pharmaceuticals,",growth stage,2000000,75000000,NaN,65,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,garland capital group,2013,private,http://www.garlandcg.com/,"155 n upper wacker dr, chicago, il 60606",60606,https://www.linkedin.com/company/garland-capital-management/?originalsubdomain=in,(+1) 312-629-1100,info@garlandcg.com,,"transportation,travel,employment,insurance",NaN,2000000,22000000,60300000,7,41.881832,-87.623177,il
north america,usa,midwest,illinois,hadley capital,1998,private firm,http://www.hadleycapital.com/,1200 central avenue suite 300 il 60091,60091,https://www.linkedin.com/company/hadley-capital/,(+1)847-906-5300,info@hadleycaital.com,,"software,saas,storage,network",all,5000000,30000000,NaN,NaN,41.881832,-87.623177,il
north america,usa,midwest,illinois,hopewell ventures,2004,private firm,https://hopewellventures.com,300 south wacker drive chicago il 60606,60606,https://in.linkedin.com/company/hopewell-ventures,(+1)312-357-9600,info@hopewellventures.com,,"technology,heathcare,life science,medical sectors",late stage,2000000,30500000,88100000,7,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,hopewell ventures lp,,private,http://www.hopewellventures.com/,"20 n upper wacker dr, chicago, il 6060",60606,https://in.linkedin.com/company/hopewell-ventures,(+1) 312-357-9600,info@hopewellventures.com,,"software,gps,games","early stage, growth stage",1200000,30500000,88100000,7,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,hyde park angels,2007,private,http://www.hydeparkangels.com/,"222 w merchandise mart plaza #1212, chicago, il 60654",60654,https://www.linkedin.com/company/hyde-park-angels/?originalsubdomain=in,NaN,NaN,,"business,financial,consumer,digital media,technology,healthcare","seed , early stage",75000,30000000,372000000,82,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,illinois ventures,2002,private,http://illinoisventures.com/,"2242 west harrison street
suite 201
chicago, il 60612
 ",60612,https://www.linkedin.com/company/16251092/,(+1) 312-251-0700,admin@illinoisventures.com,,"advertising,clean technology,software",NaN,100000,36000000,199000000,40,41.881832,-87.623177,il
north america,usa,midwest,illinois,impact engine,2000,private equity firm,http://impactengine.com/,"222 merchandise mart plaza
 suite 1212
 chicago, il 60654
 united states",60654,http://www.linkedin.com/company/2417878,(+1)866 -467-2289,ngreer@impactengine.com,,adverstising,early stage,7000000,9800000,16800000,2,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,jk&b capital,1996,private,http://www.jkbcapital.com/,"180 n stetson ave # 4500, chicago, il 60601",60601,https://www.linkedin.com/company/jk&b-capital/?originalsubdomain=in,(+1) 312-946-1103,NaN,,"software,enterprise software,mobile","early stage, growth stage",2000000,95000000,1600000000,104,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,jump capital,2012,private,http://jumpcap.com/,"600 west chicago avenue
suite 825
chicago, il 60654
 ",60654,https://www.linkedin.com/company/jump-capital/?originalsubdomain=in,(+1) 312-205-8760,info@jumpcap.com,,"enterprise,saas,fintech,healthcare,internet,digital","early stage, growth stage",1000000,62000000,820000000,63,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,kgc capital,2013,private,http://kgccapital.com/,"po box 2500
kamuela, hi 96743
 ",96743,https://www.linkedin.com/company/kgc-ventures/?originalsubdomain=in,NaN,info@kgccapital.net,,"finance,analytics,sales and,marketing","seed , startups",375000,12500000,35850000,11,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,lightbank,2010,private,http://lightbank.com/,"600 west chicago avenue
suite 775
chicago, il 60654
 ",60654,https://in.linkedin.com/company/lightbank,NaN,info@lightbank.com,,"social media,consumer internet,b2b technology","seed , early stage",140000,30000000,525000000,144,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,lionbird,2012,venture capital,http://lionbird.com/,"lionbird, 708 church street, suite 252
evanston, il ",60201,http://www.linkedin.com/company/2598138,(+1)847-348-9161,NaN,,"enterprise software,health care,venture capital","early stage venture
seed",600000,27100000,284300000,32,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,math venture partners,2014,private,http://www.mathventurepartners.com/,"math venture partners
222 w. merchandise mart plaza
suite 1212 c/o 1871 
chicago, il 60654",60654,https://www.linkedin.com/company/math-venture-partners/?originalsubdomain=in,NaN,NaN,,"management,security,mobile,software","startups, early stage, growth stage",700000,30000000,162000000,23,41.881832,-87.623177,il
north america,usa,midwest,illinois,"maxim partners, llc",1991,private equity firm,www.maximpartnersllc.com,"105 east 1st street
 suite 203
 hinsdale, il 60521
 united states",60521,NaN,(+1)630-206-4040,NaN,,"education,energy,environmental,health sectors",early stage,3000000,20000000,NaN,NaN,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,merrick ventures,,private,http://www.merrickventures.com,"350 north orleans street
suite 9000n
chicago, il 60654
 ",60654,https://www.linkedin.com/company/merrick-ventures-llc/?originalsubdomain=in,(+1) 312-994-9494,info@merrickventures.com,,"internet,clean tech,it,healthcare",NaN,800000,14000000,28100000,6,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,mk capital,2003,private,http://www.mkcapital.com/,"40 skokie blvd
suite 430
northbrook, il 60062",60062,NaN,(+1) 312-324-7700,kris@mkcapital.com,,"video games,software","early stage, growth stage",1500000,35000000,431000000,58,41.881832,-87.623177,il
north america,usa,midwest,illinois,motorola solutions venture capital,1999,venture capital,http://www.motorolasolutions.com/ventures,"1303 east algonquin road
 schaumburg, il 60196
 united states",60196,https://www.linkedin.com/company/motorolasolutions,(+1)888-325-9336,NaN,,"communication,technology",early stage and debt,1000000,5000000,NaN,152,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,motorola ventures,1999,venture capital,http://www.motorola.com/ventures,"1303 east algonquin road
 schaumburg, il 60196
 united states",60196,https://www.linkedin.com/company/motorolasolutions/,(+1) 888-325-9336,NaN,,"intelligent media processing,biometrics,cognitive radio",early stage venture,1000000,5000000,NaN,151,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,oca ventures,1999,private,http://www.ocaventures.com/,"351 west hubbard street
suite 600
chicago, il 60654
 ",60654,https://www.linkedin.com/company/oca-ventures/?originalsubdomain=in,(+1) 312-327-8400,plans@ocaventures.com,,"software,security,network security,healthcare,it,fintech","seed , early stage",75000,31400000,451000000,90,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,origin ventures,1999,private,http://originventures.com/,"549 w randolph st ste 601, chicago, il 60661",60661,https://www.linkedin.com/company/origin-ventures/?originalsubdomain=in,(+1) 312-644-6449,inquire@originventures.com,,"software,content,marketplaces",early stage,310000,325000000,568000000,51,41.881832,-87.623177,il
north america,usa,midwest,illinois,os fund,,venture capital,http://osfund.co/,"chicago, il 
 
 united states",NaN,https://www.linkedin.com/in/bryanrjohnson,NaN,NaN,,"aerospace and physics,health and life sciences,infrastructure,machine intelligence",early stage,500000,41000000,174030000,30,41.881832,-87.623177,il
north america,usa,midwest,illinois,pfingsten partner llc,1989,private firm,http://www.pfingsten.com/,300 north lasalle street suite 5400 chicago il 60654,60654,https://www.linkedin.com/company/pfingsten-partners/,(+1)312-222-8707,pfingsten@pfingsten.com,,customized products,early stage,16000000,16000000,16000000,1,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,pritzker group venture capital,1996,private,http://www.pritzkergroup.com/venture-capital/,"11150 santa monica blvd., suite 1500
 los angeles, ca 90025",90025,https://www.linkedin.com/company/the-pritzker-group?originalsubdomain=in,(+1) 310-575-9400,info@pritzkergroup.com,,"b2b saas,marketplaces,iot,startups,web,ecommerce,","early stage, growth stage",50000,500000000,2300000000,177,41.881832,-87.623177,il
north america,usa,midwest,illinois,prospect partners,1998,private equity firm,http://www.prospect-partners.com/,"200 west madison street, suite 2710
 chicago il 60606
 united states",60606,https://www.linkedin.com/company/prospect-partners-llc,(+1)312-782-7400,rtuttle@prospect-partners.com,,"diverse,opportunitydriven",all,2000000,25000000,NaN,23,41.881832,-87.623177,il
north america,usa,midwest,illinois,ravenswood capital corp.,1996,private firm,https://ravenswoodcapital.com,"343 west erie suite 410 4th floor chicago, il 60606",60606,NaN,(+1)312-327-2530,NaN,,"it,technolgy,b2b,education,marketing",early stage,7000000,7000000,7000000,1,41.881832,-87.623177,il
north america,usa,midwest,illinois,sandbox industries,1999,venture capital,"
www.sandboxindustries.com","213 north racine avenue,suite102,chicago il 60607",60607,https://www.linkedin.com/company/sandbox-industries,"
(+1) 312-243-4100","
info@sandboxindustries.com
",,"software                                                                                                                                                                                                                                                                                                                                     ,online marketplace                                                                                                                                                                                                                                                                                                                        digital content businesses","early stage
late stage
seed
private equity",50000,20000000,NaN,44,41.881832,-87.623177,il
north america,usa,midwest,illinois,sandbox industries llc,2003,private firm,http://sandboxindustries.com,"1000 w fulton market #213, chicago",60607,https://www.linkedin.com/company/sandbox-industries/?originalsubdomain=in,(+1) 312-243-4100,"info@sandboxindust
ries.com",,"food & agriculture,healthcare","early stage venture,
 late stage venture, 
private equity, seed",50000,71000000,430000000,44,41.881832,-87.623177,il
north america,usa,midwest,illinois,second century ventures,,venture capital,http://www.secondcenturyventures.com/,"430 north michigan avenue
 ninth floor
 chicago, il 60611
 united states",60611,https://www.linkedin.com/company/704135/,(+1) 312-329-8524,info@secondcenturyventures.com,,"real estate financial services,home services,insurance sectors",early stage,2000000,30000000,51560000,39,41.881832,-87.623177,il
north america,usa,midwest,illinois,svoboda capital,1998,private equity firm,http://www.svoco.com/,"one north franklin street, suite 1500
 chicago il 60606
 united states",60606,NaN,(+1)312-267-8750,jas@svoco.com,,"valueadded distribution,business services,consumer products & services",early stage,10000000,25000000,64500000,7,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,technology crossover ventures,1995,NaN,http://www.tcv.com/,"250 middlefield road
 menlo park, ca 94025
 united states",94025,https://www.linkedin.com/company/technology-crossover-ventures/,(+1) 212-808-0200,ir@tcv.com,,"financial technology,government services,equipment and communications businesses,semiconductors,mobile,security,storage","early stage venture, late stage venture, private equity",10000000,300000000,12400000000,270,41.881832,-87.623177,il
north america,usa,midwest,illinois,thoma cressey bravo,,private equity firm,http://www.thomacressey.com/,"300 north lasalle street
 suite 4350
 chicago, il 60654
 united states",60654,NaN,(+1)312-254-3300,NaN,,"investment management,financial strategy,planning,consulting services",all,20000000,250000000,430000000,8,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,thoma cressey equity partners,2005,venture capital,http://www.thomacressey.com/,"300 north lasalle street
 suite 4350
 chicago, il 60654
 united states",60654,NaN,(+1) 312-254-3300,NaN,,"software,healthcare,enterprise software industries",NaN,NaN,50000000,NaN,8,41.881832,-87.623177,il
north america,usa,midwest,illinois,true north venture partners,2011,venture capital,http://www.truenorthvp.com/,"205 north michigan avenue
 suite 2930
 chicago, il 60601
 united states",60601,NaN,(+1)312-574-1700,info@truenorthvp.com,,"energy,water,agriculture,waste",all,3120000,110000000,174000000,7,41.881832,-87.623177,il
north america,usa,midwest,illinois,venturelab,2013,venture capital,http://venturelab.org/,"2100 sanders road
 suite 170
 northbrook, il 60062
 united states",60062,NaN,(+1) 847-739-0100,info@venturelab.org,,"investment banking,financial advisory",NaN,NaN,NaN,NaN,NaN,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,william blair capital partners,1982,NaN,http://www.wbcapitalpartners.com/,"222 west adams street
 chicago, il 60606
 united states",60606,https://www.linkedin.com/company/166939/,(+1) 312-236-1600,info@williamblair.com,,"business and financial services,consumer,health care services and products,technology sectors",NaN,2000000,40000000,400000000,23,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,dnj capital partners llc,1999,private firm,www.dnjcapital.com,150 north wacker drive,60606,NaN,(+1)312-629-2877,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,duchossois tecnology partners,1998,venture capital,http://www.dcmllc.com,"444 w. lake st, suite 2000,chicago,illinois",60606,https://www.linkedin.com/company/duchossois-capital-partners/,"
(+1)630-501-2300 ","duchtec@duch.com
",,",finance,impact investing,venture capital ","
early stage venture
late stage venture ",2000000,50000000,305800000,34,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,frontenac co.,1971,private firm,http://www.frontenac.com/,"
1 south wacker
suite 2980
chicago, il 60606
united states
",60606,https://www.linkedin.com/company/frontenac-company/,(+1)312-368-0044,kporter@frontenac.com,,"food and beverage,industrial,venture capital",NaN,18000000,435000000,575000000,9,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,gaebler ventures llc,1999,venture capital,http://www.gaeblervc.com/,NaN,NaN,https://www.linkedin.com/company/gaebler-ventures-llc,NaN,NaN,,"finance,financial services,venture capital",NaN,NaN,NaN,NaN,2,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,glencoe capital llc,1993,private firm,http://www.glencap.com/,"chicago, il office?

200 north lasalle street

suite 2150

chicago, il ",60601,NaN,(+1)312-795-6300,NaN,,"finance,financial services,venture capital ",NaN,NaN,NaN,NaN,NaN,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,goense bounds & partners,,NaN,http://www.goensebounds.com/,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,36000000,36000000,36000000,1,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,gtcr golder rauner llc,1980,private,http://www.gtcr.com/,"gtcr
300 n. lasalle st.
suite 5600
chicago, illinois ",60654,https://www.linkedin.com/company/gtcr-llc,"
(+1)312-382-2200 ","
info@gtcr.com ",,"finance,financial services ","early stage venture 
",1500000,300000000,1099000000,15,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,high street capital,1997,private,http://www.highstr.com/,"high street capital
150 north wacker drive, suite 2420
chicago, il ",60606,https://www.linkedin.com/company/high-street-capital,"
(+1)312-267-2861 ","
info@highstreetcapital.com ",,"finance,financial services,venture capital ",NaN,8800000,8800000,8800000,1,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,illinois finance authority,,government,http://www.il-fa.com/,"160 n. lasalle st., suite s-1000
chicago, il ",60601,NaN,(+1)217-782-5792,"
webmaster@il-fa.com ",,NaN,"
early stage venture ",4000000,8300000,12300000,2,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,inroads capital partners,1995,private,https://www.inroads.org/,"10 south broadway, suite 1550, st louis, missouri ",63102,https://www.linkedin.com/company/inroads,"
(+1)314-241-7488 ","
info@inroads.org ",,"finance,financial services,venture capital ",late stage venture ,1000000,5400000,14000000,4,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,kb partners,1996,private,http://www.kbpartners.com/,NaN,NaN,https://www.linkedin.com/company/kb-partners,"
(+1)847-681-1270 ",keith@kbpartners.com,,"finance,financial services,venture capital","early stage venture
late stage venture ",1800000,93300000,NaN,23,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,kentco capital corp.,1990,private,http://www.kentcocapital.com/,"3w hawthorn, vermonhills, il",60061,NaN,(+1)847-229-4100,NaN,,NaN,NaN,NaN,NaN,NaN,13,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,keystone capital inc.,1994,private,http://www.keystonecapitalinc.com/,"155 n upper wacker dr #4150, chicago, il ",60606,https://www.linkedin.com/company/336261,"
(+1)312-219-7900 ",info@keystonecapital.com,,"finance,financial services,venture capital","
private equity ",4000000,33000000,106000000,13,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,lake capital,1998,private,http://www.lakecapital.com/,"lake capital
875 north michigan ave
suite 3520
chicago, il",60611,NaN,(+1)312-640-7050,info@lakecapital.com,,"banking,financial services,venture capital","
venture capital ",6200000,20000000,52500000,5,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,lake pacific partners llc,2000,private,http://www.lakepacific.com/,"lake pacific partners, llc.
120 south lasalle street, suite 1510
chicago, il ",60603,NaN,NaN,"
mea@lakepacific.com ",,",financefood and beverage,impact investing ","
private equity firm ",NaN,NaN,NaN,1,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,leo capital holding llc,,private,http://www.leocapholdings.com/,"leo capital holdings, llc
400 skokie blvd. suite 410
northbrook, illinois ",60062,NaN,"
(+1) 847-418-3420 ","
info@leocapholdings.com ",,"finance,fintech,venture capital ","early stage venture
late stage venture ",1000000,31800000,107000000,17,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,madison dearborn partners llc,1992,private,http://www.mdcp.com/,"madison dearborn partners, llc
70 west madison street
suite 4600
chicago, illinois ",60602,http://www.linkedin.com/company/40911,"
(+1)312-895-1000 ","
info@mdcp.com ",,"finance,financial services,venture capital ","late stage venture
private equity",10000000,739000000,NaN,27,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,mesirow financial,1937,private,http://www.mesirowfinancial.com/,"
    chicago - corporate headquarters
        353 north clark street
        chicago, il ",60654,http://www.linkedin.com/company/mesirow-financial,"
(+1)800-321-1844 ","
bjacobs@mesirowfinancial.com ",,"enterprise software,financial services,mobile ","late stage venture
private equity ",2000000,60000000,NaN,23,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,mid oaks investments llc,1986,private,http://www.midoaks.com/,"mid oaks investments llc
750 lake cook road
suite 460
buffalo grove, il ",60089,https://www.linkedin.com/company/mid-oaks-investments,"
(+1)847-215-3475 ",dboyle@midoaks.com,,"banking,financial services,venture capital ",NaN,NaN,NaN,NaN,1,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,midwest mezzanine funds,1992,private,http://www.midwestmezzanine.com/,"midwest mezzanine funds

    55 west monroe street suite 3650 chicago, il ",60603,http://www.linkedin.com/company/midwest-mezzanine-funds,(+1)312-291-7300,info@mmfcapitcal.com,,"finance,financial services,venture capital ",NaN,270000000,270000000,270000000,1,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,new world ventures,,venture capital,http://www.newworldvc.com/,NaN,NaN,NaN,NaN,NaN,,NaN,"early stage venture
late stage venture ",5500000,20000000,69500000,8,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,oca venture partners l.p.,1999,private,http://www.ocaventures.com/,"oca ventures
351 w. hubbard st.
ste 600
chicago, il ",60654,http://www.linkedin.com/company/oca-ventures,"
(+1)312-327-8400 ",plans@ocaventures.com,,",angel investment,finance,venture capital ","
early stage venture,late stage venture,seed ",2000000,124000000,1000000000,89,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,paradigm group ii llc,1995,private,http://www.paradigmventure.com/,"2 park plaza, suite 320 irvine, ca ",92614,NaN,"
(+1)949-544-2500 ",joel@paradigmgoc.com,,"finance,financial services,venture capital ",private equity firm ,NaN,NaN,NaN,NaN,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,pfingsten partners llc,1989,private,http://www.pfingstenpartners.com/,"300 n. lasalle street, suite 5400, chicago, il ",60654,https://www.linkedin.com/company/pfingsten-partners,(+1)312-222-8707,pfingsten@pfingsten.com,,"finance,financial services,venture capital ",private equity firm ,NaN,NaN,NaN,1,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,polestar capital partners l.p.,,private,http://www.polestarvc.com/,"180 north michigan avenue, suite 1905
chicago, illinois",60601,NaN,"(+1)312-984-9877

",dkcollins@polestarvc.com,,"finance,financial services,venture capital ",private equity firm ,3500000,3500000,3500000,1,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,prairie capital,1997,private,http://www.prairie-capital.com/,"prairie capital, l.p.
191 north wacker drive
suite 800
chicago, il ",60606,http://www.linkedin.com/company/prairie-capital-lp,(+1)312-360-1133,NaN,,",finance ",private equity firm,1000000,33600000,34600000,3,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,prism capital,1999,venture captal,http://www.prismfund.com/,"444 north michigan, suite 1910
chicago, il ",60611,NaN,(+1)312-464-7900,info@prismfund.com,,NaN,NaN,1800000,30000000,99400000,11,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,prospect partners llc,1988,private,http://www.prospect-partners.com/,"investor relations contact:
michael cimini
10 east 40th street, 42nd floor
new york, ny ",10016,NaN,NaN,deals@prospectstreet.com,,debt,private equity firm,NaN,NaN,NaN,23,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,ravenswood capital venture fund,1996,venture captal,NaN,NaN,NaN,NaN,NaN,NaN,,"finance,financial services,venture capital ",NaN,7000000,7000000,7000000,1,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,roundtable healthcare partners,2001,venture captal,http://www.roundtablehp.com/,"272 east deerpath road
suite 350
lake forest, il ",60045,NaN,"
(+1)847-482-9215 ",NaN,,"finance,health care,venture capital ",NaN,NaN,NaN,NaN,3,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,sb partners,2013,venture captal,http://www.sbpartners.com/,NaN,NaN,NaN,"
(+1)858-332-2480 ","
ir@sbcappartners.com ",,"finance,financial services,venture capital ",venture capital,85000000,85000000,85000000,1,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,"signature capital, l.l.c.",,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,45000000,45000000,45000000,1,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,sterling partners,1983,private,http://www.sterlingcap.com/,"401 n michigan ave, chicago, il ",60611,http://www.linkedin.com/company/sterling-partners,NaN,NaN,,"angel investment,finance,financial services ","early stage venture
private equity ",2000000,105000000,302000000,19,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,svoboda collins llc,1998,venture capital,http://www.svoco.com/,NaN,NaN,NaN,(+1)312-267-6025,info@svoco.com,,"business development,consumer goods,venture capital ",early stage venture,8000000,34000000,64500000,13,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,vector fund management,2001,"
venture capital ",www.vectorfund.com,NaN,NaN,NaN,"
(+1)847-374-3947 ",NaN,,"angel investment,hedge funds,venture capital ",NaN,21000000,22300000,43300000,2,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,waud capital partners,1993,private equity firm ,http://www.waudcapital.com/,NaN,NaN,NaN,(+1)312-676-8401,info@waudcapital.com ,,NaN,NaN,NaN,NaN,NaN,6,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,willis stein & partners,1995,private equity firm ,http://www.willisstein.com/,NaN,NaN,NaN,(+1)312-422-2400 ,NaN,,"consumer services,education and business services ",NaN,20000000,20000000,20000000,1,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,wind point partners,1984,NaN,http://www.windpointpartners.com/,NaN,NaN,NaN,(+1)312-255-4800 ,admins@wppartners.com ,,NaN,NaN,700000000,985000000,1685000000,2,41.881832,-87.623177,il
north america,united states of america,midwest,illinois,wynnchurch capital ltd.,1999,private equity firm ,http://www.wynnchurch.com/,NaN,NaN,877.604.6111 ,NaN,NaN,,NaN,NaN,30000000,30000000,30000000,7,41.881832,-87.623177,il
north america,usa,midwest,illinois,edgewater funds,,private equity firm,http://www.edgewaterfunds.com/,"900 north michigan avenue
 suite 1800
 chicago, il 60611
 united states",60611,NaN,(+1)312-649-5666,NaN,,"business,financial,government,healthcare services,technology",early stage,115000,58500000,222300000,16,41.881832,-87.623177,il
north america,usa,midwest,illinois,frontenac company,1971,private equity firm,http://www.frontenac.com/,"1 south wacker
 suite 2980
 chicago, il 60606
 united states",60606,https://www.linkedin.com/company/frontenac-company,(+1)312-368-0044,kporter@frontenac.com,,"services,food,industrial",late/mature stage,18000000,125000000,322000000,9,41.881832,-87.623177,il
north america,united states of america,north east,illinois,jk&b,1996,venture capital,http://www.jkbcapital.com/,"2 prudential plaza, 180 north
 stetson avenue, suite 4500
 chicago, il 60601
 united states",NaN,60601,(+1)312-946-1200,NaN,,"software,information technology,communications",all,2000000,95000000,1100000000,104,41.881832,-87.623177,il
north america,usa,midwest,indiana,allos ventures,2010,venture capital,http://allosventures.com/,"11611 north meridian street
 suite 310
 carmel, in 46032
 united states",46032,https://www.linkedin.com/company/allos-ventures/,(+1) 513-723-2309,NaN,,"finance,enterprice,software",all,2000000,15000000,246700000,43,40.267193,-86.134903,in
north america,usa,midwest,indiana,cid equity partners,1981,private equity firm,http://www.cidequity.com/,"201 west 103rd street
 
 suite 200
 
 indianapolis, in 46290
 
 united states",46290,NaN,"(+1)
 317-418-3067",NaN,,"life sciences,manufacturing technology,information technology,business services",early stage,2400000,30000000,173400000,16,40.267193,-86.134903,in
north america,usa,midwest,indiana,"creative health capital, llc",2001,private equity firm,http://www.creativehealthllc.com/,"1800 north wabash avenue
 suite 200
 marion, in 46952
 united states",46952,NaN,(+1)888-314-6706,NaN,,healthcare,NaN,NaN,NaN,NaN,NaN,40.267193,-86.134903,in
north america,usa,midwest,indiana,lilly ventures,,venture capital,http://www.lillyventures.com/,"115 west washington street
 south tower
 suite 1680
 indianapolis, in 46204
 united states",46204,https://www.linkedin.com/company/lilly-ventures/,(+1) 317-429-0140,lilly_ventures@lilly.com,,"biotechnology,healthcare,it,biopharmaceutical,medical technology",all,4000000,45000000,NaN,55,40.267193,-86.134903,in
north america,united states of america,midwest,indiana,gazelle techventures,,venture capital ,http://www.gazellevc.com/,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,2000000,8000000,30000000,4,40.267193,-86.134903,in
north america,united states of america,midwest,indiana,"irwin ventures sbic, llc",,venture capital ,http://www.irwinventures.com/,NaN,NaN,NaN,(+1)812-373-1434,NaN,,NaN,NaN,7000000,40000000,73000000,5,40.267193,-86.134903,in
north america,united states of america,midwest,indiana,"twilight venture partners, llc",,venture capital ,"
www.twivp.com",NaN,NaN,NaN,NaN,NaN,,biotech and med tech companies,"early stage venture
late stage venture ",1000000,30000000,86000000,11,40.267193,-86.134903,in
north america,usa,midwest,iowa,"aavin equity partners, l.p.",1999,private equity firm,http://www.aavin.com/,"1245 1st ave se
 cedar rapids, ia 52402
 united states",52402,http://www.linkedin.com/company/aavin-equity-advisors-llc-,(+1)319-247-1072,inquiries@aavin.com,,"management buyouts,recapitalization",early stage,1200000,30000000,47900000,6,41.661129,-91.530167,ia
north america,usa,midwest,iowa,"iowa startup accelerator,",2014,private equity firm,http://www.iowastartupaccelerator.com/,"the geonetric building
 415 12th avenue south east
 cedar rapids, ia 52401
 united states",52401,http://www.linkedin.com/company/3739720,(+1)319-382-5128,eric@newbo.co,,"advanced manufacturing,agriculture,health,education,",seed,20000,2500000,4000000,26,41.66113,-91.530168,ia
