Continent,Country,Region,State,Name of VC,Year of Establishment,Type of Investor,Website,Postal Address,Pincode,LinkedIn Details,Phone Details,Email Address,Sectors dealt with,Investment Stage,Investment Amount Minimum,Investment Amount Maximum,Previously Invested Total Amount,Total number of companies funded so far,Latitude,Longitude,Code ,
North America,United States of America,Northeast,Massachusetts,Advancit Capital,,Venture Capital,http://www.advancitcapital.com/,,,https://www.linkedin.com/company/2992821?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A2992821%2Cidx%3A1-1-1%2CtarId%3A1439848986804%2Ctas%3AAdvancit%20Capital,,"
info@advancitcap.com ","Media
Entertainment ","Debt
Early Stage Venture
Seed ",,,,,42.407217,-71.382439,MA,
,,North East,Massachusetts,Advent International,1984,Private Equity Firm,http://www.adventinternational.com/,"800 Boylston Street

Prudential Tower

Boston, MA 02199-8069

United States",2199-8069,https://www.linkedin.com/company/12202/,(+1)212 -813- 8300,news@adventinternational.com,"business and financial services; 
healthcare; 
industrial;
 retail,
 consumer,
 restaurants
 leisure;
 technology,
 media
 telecom",all,3M,343.7M,,82,42.407218,-71.382439,MA,
North America,USA,Northeast,Massachusetts,AH Ventures,2001,Investment Bank,http://www.ahventures.com/,"99 High Street
 
 Boston, MA 02110
 
 United States",2110,,(+1)617-788-1670,info@ahventures.com,"software,
  technology manufacturing solutions, 
 semiconductors,
  technology services, 
  resource optimization technologies.",Early Stage,8M,9M,17M,2,42.407219,-71.382439,MA,
,,North East,Massachusetts,Ampersand Ventures,,Venture Capital,http://www.ampersandcapital.com/,"55 William Street
 
 Suite 240
 
 Wellesley, MA 02481
 
 United States",2481,,(+1)781-239-0700,info@ampersandcapital.com,"Healthcare
 Industrial
 Instrumentation",Early Stage,5M,56M,466.21M,38,42.40722,-71.382439,MA,
North America,USA,Northeast,Massachusetts,argo global capital,,Venture Capital,http://www.argoglobal.com/,"401 Edgewater Place
 Suite 120
 Wakefield, MA 01880
 United States",1880,,(+1)781-213-9344,info@argoglobal.com,"wireless communications 
 internet companies",All,4.5M,65M,511.08M,33,42.407221,-71.382439,MA,
,USA,North East,Massachusetts,"Argonaut Partners, LLC",,Venture Capital,http://www.argollc.com/,"390 Commonwealth Avenue
 Suite 610
 Boston, MA 02215
 United States",2215,,(+1)617-267-6669,nsb@argonautllc.com,"Financial Sector
 Asset management",Early Stage,1M,52M,86.8M,6,42.407222,-71.382439,MA,
North America,United States of America,North East,Massachusetts,Atlas Venture,1980,Private,http://www.atlasventure.com/,"400 Technology Square
10th Floor
Cambridge, MA 02139
 ",2139,https://in.linkedin.com/company/atlas-venture,(+1) 857-201-2700,lifesciences@atlasventure.com,"Technology and 
Life Sciences","Startups, Seed , Early Stage, Later/Mature Stage",0.36M,220M,6.7B,476,42.407223,-71.382439,MA,
North America,USA,North East,Massachusetts,Axxon Capital,1999,Venture Capital,http://www.axxongroup.com.br/,"28 State Street
 37th Floor
 Boston, MA 02109
 United States",2109,https://www.linkedin.com/company/axxon-capital/?originalSubdomain=in,(+1)617-722-0980,,"technology companies,
  manufacturing,
  wireless communications, 
 emerging new media",Late/Mature Stage,15M,90M,106M,6,42.407224,-71.382439,MA,
North America,USA,Northeast,Massachusetts,"Bain Capital
 Ventures",1984,Private Firm,https://www.baincapitalventures.com,"200 Clarendon Street Boston,
MA",2116,https://www.linkedin.com/company/bain-capital/,,"BCV@bainca
pital
ventures.com","Infrastructure 
Software and 
Services, Communicat
ions,
 New Media
, Business Servic
es, Healthcare","Early Stage Venture,
 Late Stage Venture,
 Seed",2M,133M,1.4B,298,42.407225,-71.382439,MA,
,,North East,Massachusetts,BancBoston Capital/Ventures,,Venture Capital,http://www.bancbostoncapital.com/,"100 Federal Street
 Boston, MA 02110
 United States",2110,,(+1)617-434-2509,,"Asset management
 Tax services
 media
 , communications, 
 software,
  technology,
  infrastructure,
  e-commerce, 
 Internet and information, 
 healthcare, 
 medical device",all,1M,156M,,73,42.407226,-71.382439,MA,
North America,USA,North East,Massachusetts,Barrington Partners,1995,Venture Capital,http://www.barringtonp.com/,"77 Franklin Street
 
 Suite 802
 
 Boston, MA 02110
 
 United States",2110,https://www.linkedin.com/company/barrington-partners,(+1) 617-482-3300,info@barringtonp.com,,Early Stage,8M,43M,69M,4,42.407227,-71.382439,MA,
North America,United States of America,North East,Massachusetts,Battery Ventures,1983,Private,http://battery.com/,"One Marina Park Drive
Suite 1100
Boston, MA 02210
 ",2210,https://www.linkedin.com/company/battery-ventures/,(+1) 617-948-3600,,"web infrastructure,
e-commerce,
internet, 
internet applications,digital marketing technologies, 
social applications, 
mobile applications and services","Seed , Startups, Early Stage, Later/Mature Stage",0.1M,950M,12.22B,591,42.407228,-71.382439,MA,
north america,USA,North East,Massachusetts,Battery Ventures,1983,Venture Capital,www.battery.com,"One Marina Park Drive Suite 1100 (GPS: 56 Northern Ave) Boston, MA 02210",2210,,(+1) 415-426-5900,,"Web/IT infrastructure                                                                                                                                                                                                                                                                                                                                           
consumer Internet and mobile                                                                                                                                                                                                                                                                                                      
industrial technology","Debt
Early Stage
Late Stage
Seed
Private Equity",2M,108M,1.25B,590,42.407229,-71.382439,MA,
North America,USA,Northeast,Massachusetts,Bedrock Capital Partners,1987,Venture Capital,http://www.bedrockcapital.com/,"c/o Auerr, Mason & Zajac
 
 29 Dean Avenue
 Franklin, MA 02038
 United States",2038,https://www.linkedin.com/company/362883,(+1)650-964-7024,john.han@unitedcp.com,"healthcare
 information technology",Early Stage,3.5M,30M,192M,11,42.40723,-71.382439,MA,
North America,USA,North East,Massachusetts,Berkshire Partners,1980,Private Equity Firm,http://www.berkshirepartners.com/,"200 Clarendon Street
 
 35th Floor
 
 Boston, MA 02116
 
 United States",2116,,(+1)617-227-0050,,"financing services, 
 energy, 
 retailing and related services,
  business services,
  manufacturing,
  transportation,
  industrials, 
  communication sectors",all,4M,275M,568M,13,‎42.407231,-71.382439,MA,
North America,USA,North East,Massachusetts,BioVentures Investors,1999,Venture Capital,http://www.bioventuresinvestors.com/,"70 Walnut Street
 
 Suite 302
 
 Wellesley, MA 02481
 
 United States",2481,,(+1)617-252-3443,info@bioventuresinvestors.com,"life sciences 
 healthcare",Early Stage,2.5M,60M,425.79M,27,42.407232,-71.382439,MA,
North America,USA,Northeast,Massachusetts,Black Coral Capital,2008,Venture Capital,http://www.blackcoralcapital.com/,"50 Milk Street
 16th Floor
 Boston, MA 02109
 United States",45202,,,info@blackcoralcapital.com,"renewable energy 
 technology",All,3M,50M,263M,17,42.407233,-71.382439,MA,
North America,United States of America,North East,Massachusetts,Black Corral Capital,2008,Private,http://blackcoralcapital.com/,"50 Milk Street
16th Floor
Boston, MA 02109
 ",2109,,,info@blackcoralcapital.com,"Clean Tech, 
Alternative Energy","Growth Stage, Early Stage",2.6M,50M,277M,17,42.407234,-71.382439,MA,
North America,USA,Northeast,Massachusetts,Boston Community Venture Fund,1985,Venture Capital,http://www.bcvfund.com/,"56 Warren Street
 Suite 300
 Boston, MA 02119-3236
 United States",2119,,(+1) 617-427-3640,info@bostoncommunitycapital.org,,All,12M,50M,62M,2,42.407235,-71.382439,MA,
North America,USA,Northeast,Massachusetts,Boston Financial & Equity,1968,Private Equity Firm,http://www.bfec.com/,"1260 Boylston Street
 
 Boston, MA 02215
 
 United States",2215,,(+1)617-267-2900,,"financial solutions
 Loan services",Early Stage,10M,13.6M,23.6M,2,42.407236,-71.382439,MA,
North America,USA,Northeast,Massachusetts,Boston Millennia Partners,1984,Private Equity Firm,http://www.bostonmillenniapartners.com/,"30 Rowes Wharf
 
 Suite 400
 Boston, MA 02110
 United States",2110,http://www.bostonmillenniapartners.com/,(+1)010-177-1916,info@millenniapartners.com,"telecommunications,
 information technology,
 healthcare,
 business services, 
 healthcare information technology, 
 life sciences companies",All,3M,150M,,86,‎42.407237,-71.382439,MA,
North America,USA,Northeast,Massachusetts,Boston Scientfic,1979,,https://www.bostonscientific.com/en-US/Home.html,"300 Boston Scientific Way
 Marlborough, MA 01752
 United States",1752,http://www.linkedin.com/company/boston-scientific,(+1) 800-876-9960,,Healthcare,All,3M,75M,407.89M,34,42.407238,-71.382439,MA,
North America,USA,Northeast,Massachusetts,Boston Ventures,1982,Venture Capital,http://www.bcv.com/,"125 High Street
 
 17th Floor
 
 Boston, MA 02110
 
 United States",2110,,(+1)617-350-1500,info@bcv.com,"media, 
 communications
  entertainment",Early Stage,2M,30M,135.5M,13,42.407239,-71.382439,MA,
North America,USA,Northeast,Massachusetts,Broadview Ventures Inc,2008,Private Equity Firm,http://broadviewventures.org/,"125 High Street
 9th Floor
 Boston, MA 02110
 United States",2110,,(+1)617-457-5944,fjones@broadviewventures.org,"management buy-outs
 , acquisitions,
 mergers, 
 recapitalizations,
 restructuring",All,750K,20M,102.9M,42,42.40724,-71.382439,MA,
North America,USA,Northeast,Massachusetts,Brook Venture Partners,1998,Private Equity Firm,http://www.brookventure.com/,"301 Edgewater Place
 4th Floor
 Wakefield, MA 01880
 United States",1880,http://www.linkedin.com/company/brook-venture-partners,(+1)781-295-4000,,"information technology and healthcare
 IT fields,
 medical technology",All,1M,15M,,59,42.407241,-71.382439,MA,
North America,USA,North East,Massachusetts,Brookwood Partners,1993,Venture Capital,http://www.brookwoodfinancial.com/,"72 Cherry Hill Drive
 
 Beverly, MA 01915
 
 United States",1915,https://www.linkedin.com/company/brookwood-financial-partners,(+1)215-619-4760,,"private equity
 , real estate 
  asset management",Startups,5.2M,20M,34.3M,3,42.407242,-71.382439,MA,
North America,USA,Northeast,Massachusetts,C Change Investments,,,http://www.cchangeinvestments.com/,"1 Main Street
 14th Floor
 Cambridge, MA 02142
 United States",2142,,(+1)617-575-7800,info@cchangeinvestments.com,"Financial Service, 
 Management of assets and funds",,,,,,42.407243,-71.382439,MA,
North America,USA,North East,Massachusetts,Cambridge Samsung Partners,1996,Venture Capital,,"1699 Boylston Street
 
 One Exeter Plaza
 
 9th Floor
 
 Boston, MA 02116
 
 United States",2116,,(+1),,"information technology, 
 life sciences
  telecommunication",Early Stage,1.3M,10M,11.3M,3,42.407244,-71.382439,MA,
North America,USA,Northeast,Massachusetts,CambridgeLight Partners,,Private Equity Firm,http://www.cambridgelight.com/,"38 Vermont Street
 West Roxbury, MA 02132
 United States",2132,,,info@cambridgelight.com,"telecommunications, 
 software, 
 electronics,
 business services, 
 internet infrastructure companies.",,,,,,42.407245,-71.382439,MA,
North America,USA,North East,Massachusetts,Capital Resource Partners,1987,Venture Capital,http://www.crp.com/,"83 Walnut Street
 
 Unit 10
 
 Wellesley, MA 02481
 
 United States",2481,,(+1)617-478-9600,,"business services
 , consumer products and services,
  healthcare services, 
 healthcare technology, 
 proprietary industrial products and services,
  software 
  information services.",Early Stage,1M,25M,117.3M,13,42.407246,-71.382439,MA,
North America,USA,Northeast,Massachusetts,Castile Ventures,1998,Venture Capital,http://www.castileventures.com/,"65 William Street
 Suite 205
 Wellesley, MA 02481-3800
 United States",2481,,(+1)781-890-0060,info@castileventures.com,"communications, 
 software,
 IT infrastructure sectors","Seed, Early Stage",50K,80M,519.05M,45,42.407247,-71.382439,MA,
North america,USA,Northeast,Massachusetts,Causeway Media Partners,,Venture Capital,http://www.causewaymp.com/,"226 Causeway Street
 4th Floor
 Boston, MA 02114
 United States",2114,,(+1)617-855-6333,info@causewaymp.com,"sports
 media
 technology
 finance",All,5M,25M,342M,16,42.407248,-71.382439,MA,
North America,USA,Northeast,Massachusetts,"CB Health Ventures, L.L.C.",1997,Venture Capital,http://www.health-ventures.com/home.htm,"800 Boylston Street
 
 Suite 800
 
 Boston, MA 02199
 
 United States",2199,,(+1)617 -450 -9800,info@excelvm.com,"healthcare services
 , medical information technology,
  biotechnology,
  genomic",Early Stage,4M,36M,319.25M,22,42.407249,-71.382439,MA,
North America,USA,North East,Massachusetts,Century Capital Management,1992,http://www.centurycap.com/,,"100 Federal Street
 29th Floor
 Boston, MA 02110
 United States",2110,,(+1)800-321-1928,info@centurycap.com,"financial services,
 insurance, 
 healthcare",Early Stage,2M,69M,214.2M,10,42.40725,-71.382439,MA,
north america,USA,North East,Massachusetts,Charles River Ventures,1970,Venture Capital,https://www.crv.com/,"One Broadway,15th Floor,Cambridge,MA02142",2142,https://www.linkedin.com/company/charles-river-ventures,(+1) 781-768-6000,careers@crv.com,"
Consumer
Enterprise","Early Stage
Late Stage
Seed",1.5M,175M,7B,,42.407251,-71.382439,MA,
North America,USA,North East,Massachusetts,Charlesbank Capital Partners LLC,1998,Investment Bank,http://charlesbank.com/,"200 Clarendon Street
 
 54th Floor
 
 Boston, MA 02116
 
 United States",2116,,(+1)212-903-1880,,"communications
 , education, 
 energy services, 
 pharmaceuticals,
  biotechnology and life sciences,
  healthcare providers and services,
  food products, 
 distributors, 
 media, 
 material, 
 logistics,
  building products, 
 consumer products and services,
  telecommunications,
  financial services, 
 healthcare,",Growth Stage,11M,90M,131.5M,3,42.407252,-71.382439,MA,
North America,USA,North East,Massachusetts,Citizens Capital,1997,Venture Capital,http://www.citizenscapital.com/,"28 State Street
 
 Boston, MA 02109
 
 United States",2109,,(+1),,"financial service
 Asset management",Early Stage,2.5M,50M,182M,8,42.407253,-71.382439,MA,
North America,USA,North East,Massachusetts,Claflin Capital Management,1978,Venture Capital,http://www.claflincapital.com/,"10 Liberty Square
 
 3rd Floor
 
 Suite 300
 
 Boston, MA 02109
 
 United States",2109,,(+1)617-426-6505,,"technology,
  life science, 
  electronics",Early Stage,2M,9M,24.9M,7,42.407254,-71.382439,MA,
North America,,Northeast,Massachusetts,Clarus Ventures,2005,Venture Capital,http://www.clarusfunds.com/,"101 Main Street
Suite 1210
Cambridge, MA 02142
United States",2142,https://in.linkedin.com/company/clarus-ventures,(+1) 617-949-2200,N/A,"Biotechnology
Health Care
Medical Device","Early Stage
Late Stage
Private Equity",,,2.6B,83,42.407255,-71.382439,MA,
North America,USA,Northeast,Massachusetts,Clarus Ventures,2005,Venture Capital,http://www.clarusfunds.com/,"101 Main Street
 Suite 1210
 Cambridge, MA 02142
 United States",2142,https://www.linkedin.com/company/clarus-ventures/,(+1) 617-949-2200,,"biotechnology
 medical device 
 and diagnostic spaces.",All,10M,100M,,83,42.407256,-71.382439,MA,
North America,USA,Northeast,Massachusetts,Commons Capital,,Venture Capital,http://www.commonscapital.com/,"320 Washington Street
 4th Floor
 Brookline, MA 02445
 United State",2445,,(+1)617-739-3500,ebailey@commonscapital.com,"healthcare
 , energy, 
 environment, 
 education",All,50K,9M,53M,13,42.407257,-71.382439,MA,
North America,United States of America,Northeast,Massachusetts,Commons Capital L.P.,,Venture Capital,http://www.commonscapital.com/,"320 Washington Street
 4th Floor
 Brookline, MA 02445
 United State",2445,,(+1)617-739-3500,ebailey@commonscapital.com,"healthcare
 , energy, 
 environment, 
 education",All,50K,9M,53M,13,42.407258,-71.382439,MA,
North America,USA,Northeast,Massachusetts,Commonwealth Capital,1995,Venture Capital,http://www.commonwealthvc.com/,"00 West Cummings Park
 Suite 1725-134
 Woburn, MA 01801
 United States",1801,,(+1)781-890-5554,,"communications
 , e-commerce,
 Internet software and services",early and growth stage,25K,47M,,101,42.407259,-71.382439,MA,
North America,United States of America,Northeast,Massachusetts,Commonwealth Capital Ventures,1995,Venture Capital,http://www.commonwealthvc.com/,"00 West Cummings Park
 Suite 1725-134
 Woburn, MA 01801
 United States",1801,,(+1)781-890-5554,,"communications
 , e-commerce,
  Internet software and services",early and growth stage,25K,47M,47.25M,101,42.40726,-71.382439,MA,
North America,United States of America,Northeast,Massachusetts,Community Technology Fund,2008,??,http://www.bu.edu/ctf,,,,(+1)628-200-3118,info@ctnbayarea.org,,,,,,,42.407261,-71.382439,MA,
North America,USA,Northeast,Massachusetts,Cue ball,2008,Private Equity Firm,http://www.cueball.com/,"1 Faneuil Hall Square
 7th Floor
 Boston, MA 02109
 United States",2109,http://www.linkedin.com/company/1489213,(+1)617-542-0033,ideas@cueball.com,"internet
 , retail,
 digital media service","Seed, Early, Growth stage",1.5M,126M,268.45M,33,42.407262,-71.382439,MA,
North America,USA,Northeast,Massachusetts,Cutlass Capital,2001,Private Equity Firm,http://www.cutlasscapital.com/,"229 Marlborough Street
 Boston, MA 02116
 United States",2116,,(+1)410-303-6901,hetz@cutlasscapital.com,"medical device 
 specialty healthcare services",Early Stage,9M,35M,115M,7,43.407262,-71.382439,MA,
North America,United States of America,Northeast,Massachusetts,Dace Ventures,,Venture Capital,http://www.daceventures.com/,"1050 Waltham Street, Suite 300, Lexington, MA  ",2421,,(+1)781-250-0600,info@daceventures.com,"Advertising 
Consumer 
Mobile ","Debt
Early Stage Venture, Late Stage Venture
Seed ",1M,17M,109.1M,19,44.407262,-71.382439,MA,
North america,USA,Northeast,Massachusetts,dunnhumby Ventures,,Venture Capital,https://www.dunnhumby.com/,"500 Harrison Avenue
 Suite 3R
 Boston, MA 02118
 United States",2118,https://www.linkedin.com/company/6608,(+1)212-379-3000,infomy@dunnhumby.com,retail technology and innovations,Seed and Early stage,0.1M,0.5M,35M,13,42.407265,-71.382439,MA,
North America,USA,Northeast,Massachusetts,DynamicOps,2008,Private Equity Firm,http://dynamicops.com/,"1 Wall Street
 Burlington, MA 01803
 United States",1803,https://www.linkedin.com/company/vmware,(+1)781-328-9222,info@dynamicops.com,Cloud based services,,,,,,42.407265,-71.382439,MA,
North America,USA,Northeast,Massachusetts,Egan-Managed Capital,1997,Private Equity Firm,http://www.egancapital.com/,"30 Federal Street
 Boston, MA 02110
 United States",2110,,(+1)617-695-2600,,High technology,Early Stage,1.5M,42.5M,,51,42.407267,-71.382439,MA,
North America,USA,North East,Massachusetts,Energy Investors Funds,1987,Venture Capital,http://www.eifgroup.com/,"Three Charles River Place
 
 63 Kendrick Street
 
 Suite 101
 
 Needham
 
 Boston, MA 02494
 
 United States",2494,,(+1)781-292-7000,,Power,Early Stage,5M,32M,37M,2,42.407268,-71.382439,MA,
North America,USA,Northeast,Massachusetts,EuroUS Ventures,2005,Venture Capital,http://www.eurousventures.com/,"2000 Commonwealth Avenue
 Suite 300
 Newton, MA 02466
 United States",2466,http://www.linkedin.com/company/42153,,info@eurousventures.com,"IT, software",Late/Mature Stage,650K,36M,71M,4,42.407269,-71.382439,MA,
North America,USA,Northeast,Massachusetts,Excel Venture Management,2008,Private Equity Firm,http://www.excelvm.com/,"Prudential Tower 800
 Boylston Street, Suite 2825
 Boston, MA 02199
 United States",2199,,(+1)617-450-9800,info@excelvm.com,"healthcare,
 information technology, 
 diagnostics and medical devices, 
 life science platforms",All,1.5M,45M,363.4M,37,42.40727,-71.382439,MA,
North America,USA,Northeast,Massachusetts,"F-Prime Capital
 Partners",1946,Private Firm,fprimecapital.com,"1 Main Street 13th floor
cambridge,MA",2142,https://www.linkedin.com/company/f-prime-capital-partners/,(+1) 617- 231- 2400,"info@fprimecap
ital.com","healthcare,Ente
rprise IT and FinTech","Early Stage Venture,
 Late Stage Venture,
 Seed",2.8M,117.4M,2000B,140,42.407271,-71.382439,MA,
North America,USA,Northeast,Massachusetts,FA Technology Ventures,1994,Venture Capital,http://www.fatechventures.com/,"20 Main Street
 Acton, MA 01720
 United States",1720,,(+1)617-757-3880,,"information technology
 , enterprise software, 
 energy technology","Early, growth stage",1.7M,40M,82M,19,42.407272,-71.382439,MA,
North America,USA,Northeast,Massachusetts,Fairhaven Capital,2001,Venture Capital,http://www.fairhavencapital.com/,"1 Hampshire Street
 Cambridge, MA 02139
 United States",2139,https://www.linkedin.com/company/fairhaven-capital/,(+1) 617-452-0800,info@fairhavencapital.com,"digital media, 
 enterprise and consumer technology markets",All,2.5M,100M,,60,42.407273,-71.382439,MA,
North America,United States of America,North East,Massachusetts,Fidelity Biosciences,1946,Private,http://www.fidelitybiosciences.com/,"Main St, Cambridge, MA 02142",2142,https://in.linkedin.com/company/f-prime-capital-partners,(+1) 617-231-2400,info@fprimecapital.com,"Pharmaceuticals and 
Biotechnology, 
Software","Seed , Startups, Early Stage, Growth Stage",1B,217B,4B,141,42.407274,-71.382439,MA,
North America,United States of America,,Massachusetts,Fidelity Investments,1946,Private,http://www.fidelity.com/,"82 Devonshire Street

Boston, MA 02109-3605
",2109,https://www.linkedin.com/company/fidelity-investments,(+1) 800-343-3548,,,,1.55M,1800M,15.5B,76,42.407275,-71.382439,MA,
North America,USA,Northeast,Massachusetts,Fidelity Ventures,1970,Private Firm,http://www.fidelityventures.com,"Boston ,Massachusetts",75229,https://www.linkedin.com/company/fidelity-ventures/,,"ventures@fide
lityventures.
com",Information Technology,"Early Stage Venture,
 Late Stage Venture",3.7M,40M,,103,42.407276,-71.382439,MA,
North America,USA,Northeast,Massachusetts,Flagship Pioneering,2000,Venture Capital,http://flagshippioneering.com/,"55 Cambridge Parkway
Cambridge, MA 
United States",2142,https://in.linkedin.com/company/flagship-pioneering,(+1) 617-868-1888,N/A,"Biotechnology
Health Care
Medical Device
Pharmaceutical","Debt
Early Stage
Late Stage
Private Equity",7M,15M,1.75B,75,42.407277,-71.382439,MA,
North america,USA,Northeast,Massachusetts,Fletcher Spaght Ventures,2001,Venture Capital,http://www.fletcherspaght.com/,"222 Berkeley Street
 
 20th Floor
 Boston, MA 02116-3761
 United States",2116,https://www.linkedin.com/company/fletcher-spaght-ventures/,(+1) 617-247-6700,info@fletcherspaght.com,"information technology 
 software",Early Stage,3M,40M,39.5M,31,‎42.407278,-71.382439,MA,
north america,USA,North East,Massachusetts,Fly Bridge Capital Partners,2001,Venture Capital,http://www.flybridge.com/,"31 St. James Avenue, 6th Floor, Boston,MA02116",2116,https://www.linkedin.com/company/flybridge-capital-partners,(+1) 617-307-9292,hello@flybridge.com,"Software and hardware markets                                                                                                                                                                                                                                                                                                             
healthcare                                                                                                                                                                                                                                                                                                                                            
information technology                                                                                                                                                                                                                                                                                            
consumer companies","Early Stage
Seed",1M,60M,,315,42.407279,-71.382439,MA,
North America,United States of America,North East,Massachusetts,Flybridge Capital Partners,2001,Private,http://www.flybridge.com/,"500 Boylston Street
3rd Floor
Boston, MA 02116
 ",2116,https://www.linkedin.com/company/287758/?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A287758%2Cidx%3A3-1-3%2CtarId%3A1458656919909%2Ctas%3Aflybridge,(+1) 617-307-9292,hello@flybridge.com,"insurance,
information technology 
internet, 
data analytic, 
digital media, 
software, 
enterprise software, 
consumer web, 
consumer; 
consumer infrastructure","Growth Stage, Early Stage, Startups, Seed",0.25M,60M,2.4B,311,42.40728,-71.382439,MA,
North America,USA,northeast,Massachusetts,flybridge capital partners,2001,Private Firm,www.flybridge.com,"27 W 24th Street, 6th Floor,
 New York",10010,https://www.linkedin.com/company/flybridge-capital-partners/,(+1) 917-522-0065,hello@flybridge.com,"Consumer, 
Healthcare
, Energy 
 Information Technology","Early Stage Venture,
 Seed",1M,60M,6B,308,42.407281,-71.382439,MA,
North America,USA,Northeast,Massachusetts,Founder Collective,2009,,http://foundercollective.com/,"1 Mifflin Place
 Suite 300
 Cambridge, MA 02138
 United States",2138,https://www.linkedin.com/company/349075?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A349075%2Cidx%3A2-1-4%2CtarId%3A1441405914518%2Ctas%3AFounder%20Collective,,contact@foundercollective.com,"software
 , medical devices,
 media,
 manufacturing, 
 technology,
 and commercial businesses",Seed,550K,15M,,321,42.407282,-71.382439,MA,
north america,USA,North East,Massachusetts,G 20 ventures ,1996,Venture Capital,https://www.g20vc.com/,"34 Southwest Park, Westwood, MA 02090",2090,https://www.linkedin.com/company/prism-venture-partners,(+1) 617-850-9777,"
info@g20vc.com","enterprise software
infrastructure
internet sector.","Early Stage
Seed",,,,14,42.407283,-71.382439,MA,
North America,USA,Northeast,Massachusetts,G20 Ventures,2013,Venture Capital,http://g20vc.com/,"500 Boylston Street
 Suite 1380
 Boston, MA 02116
 United States",2116,http://www.linkedin.com/company/g20-ventures,(+1)617-850-9777,info@g20vc.com,"enterprise software,
 infrastructure,
 and internet sectors.","Seed, Early Stage",1.4M,104M,261M,14,42.407284,-71.382439,MA,
North America,USA,Northeast,Massachusetts,Gemini Investors LLC,1993,Private Equity Firm,http://www.gemini-investors.com/,"20 William Street, Suite 250
 Wellesley MA 01778
 United States",1778,,(+1)781-237-7001,jgoodman@gemini-investors.com,,"Seed, Early Stage",3M,8M,110M,11,42.407285,-71.382439,MA,
North America,United States of America,North East,Massachusetts,General Catalyst Partners,2000,Private,https://www.ge...catalyst.com/,"20 University Road
Fourth Floor
Suite 450
Cambridge, MA 02138
 ",2138,https://www.linkedin.com/company/general-catalyst-partners/,(+1) 617-234-7000,gcinfo@generalcatalyst.com,"Advanced materials,
clean energy solutions, 
disruptive energy solutions, 
energy,
energy management services, 
disruptive technology, 
next generation mobile platforms","Seed , Startups, Early Stage, Later/Mature Stage, Venture",0.097M,400M,11.8B,582,42.407286,-71.382439,MA,
north america,USA,North East,Massachusetts,General Catalyst Partners,2000,Venture Capital,www.generalcatalyst.com,"20 University Road Suite 450, Cambridge, MA 02138",2138,https://www.linkedin.com/company/general-catalyst-partners,(+1) 212-775-4000,gcinfo@generalcatalyst.com,"technology
Mobile","Early Stage
Late Stage
Seed",1.1 M,700M,,567,42.407287,-71.382439,MA,
North America,USA,Northeast,Massachusetts,Glasswing Ventures,2016,Venture Capital,http://www.glasswing.vc/,"33 Arch Street
 20th Floor
 Boston, MA 02110
 United States",2110,https://www.linkedin.com/in/rudinaseseri,(+1)617-899-5599,info@glasswing.vc,"artificial intelligence 
 cybersecurity","Seed, Early Stage",5.3M,8.3M,20M,3,42.407288,-71.382439,MA,
North America,United States of America,Northeast,Massachusetts,GrandBanks Capital,2000,Venture Capital,http://www.grandbankscapital.com/,"75 2nd Avenue
 Suite 360
 Needham, MA 02494
 United States",2494,,(+1)781-997-4300,info@grandbankscapital.com,"internet infrastructure
 , software,
  security and storage applications,
  mobile media,
  financial,
  wireless technologies and services",All,1M,25M,26M,66,42.407289,-71.382439,MA,
North America,USA,Northeast,Massachusetts,Great Hill Partners,,Private Equity Firm,http://www.greathillpartners.com/,"1 Liberty Square
 Boston, MA 02109
 United States",2109,,(+1)617-790-9400,,"financial,
 technology,
 health care,
 media, 
 communications,
 and software industries","seed, early stage",6M,200M,1115.8M,32,42.40729,-71.382439,MA,
North America,United States of America,Northeast,Massachusetts,"Great Hill Partners,LLC",,Private Equity Firm,http://www.greathillpartners.com/,"1 Liberty Square
 Boston, MA 02109
 United States",2109,,(+1)617-790-9400,,"financial,
  technology,
  health care,
  media, 
 communications,
  and software industries","seed,early stage",6M,200M,1115.8M,32,42.407291,-71.382439,MA,
North America,USA,North East,massachusetts,Grove Street Advisors,1998,Private Equity Firm,,"2221 Washington Street
 Building 1, Suite 201
 Newton, MA 02462
 United States",2462,http://us.linkedin.com/company/grove-street-advisors,(+1)781-263-6100,,"middle-market buyout,
  growth equity, 
  venture capital",All,5M,125M,231M,7,42.407292,-71.382439,MA,
North America,United States of America,Northeast,Massachusetts,"HarbourVest Partners, LLC",1982,Private Equity Firm,http://www.harbourvest.com/,,,https://www.linkedin.com/company/harbourvest-partners,,usinfo@harbourvest.com," Finance, Financial Services, Venture Capital ","Debt
Early Stage Venture
Late Stage Venture
Private Equity ",,,,,42.407293,-71.382439,MA,
,USA,West,Massachusetts,Health care ventures,1985,Venture Capital,http://www.hcven.com/,"47 Thorndike Street
Suite B1-1
Cambridge, MA 02141
United States",2141,https://in.linkedin.com/company/healthcare-ventures-llc,(+1) 617-252-4343,"
info@hcven.com","biotechnology
life science ","Early Stage
Late Stage
Private Equity
Debt
Seed",,,,,42.407294,-71.382439,MA,
